hotstar_id,title,description,genre,release_year,age_rating,running_time,seasons,episodes,type,country,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
1000109204.0,Door Ki Awaz,"Jyoti loses her memory after a train accident. She leads a happy life with her husband and son. However, she regains her memory.",Romance,1964.0,U,134.0,,,movie,France,tt0214639,movie,Door Ki Awaz,Door Ki Awaz,0.0,1964.0,,135,Romance,6.3,43
1000235527.0,Ispade Rajavum Idhaya Raniyum,"Gowtham suffers from anger issues and falls in love with Tara, an independent, practical girl. Time forces them to make tough choices. Will they part ways?",Romance,2019.0,U/A 16+,143.0,,,movie,Canada,tt10016532,movie,Ispade Rajavum Idhaya Raniyum,Ispade Rajavum Idhaya Raniyum,0.0,2019.0,,153,"Drama,Romance",6.4,675
1260013434.0,San Francisco 2.0,"Alexandra Pelosi takes a look at the future of San Francisco, where the tech boom is causing economic disruption in the counterculture capital of the U.S.",Documentary,2015.0,U/A 7+,39.0,,,movie,Portugal,tt5074414,tvMovie,San Francisco 2.0,San Francisco 2.0,0.0,2015.0,,39,Documentary,6.9,429
1000216133.0,Mumbai,"Krishna works in a bar to make ends meet for his orphanage and his lady love. Circumstances drive him to Mumbai, but will he find what he was looking for?",Action,2017.0,U/A 16+,139.0,,,movie,UK,tt1141113,tvEpisode,Mumbai,Mumbai,0.0,2005.0,,43,Documentary,7.9,8
1260103843.0,The Wonderful Summer of Mickey Mouse,Mickey Mouse and his friends recall the wild events leading up to the Annual Summer Fireworks Spectacular.,Kids,2022.0,U,22.0,,,movie,Spain,tt21098298,tvEpisode,The Wonderful Summer of Mickey Mouse,The Wonderful Summer of Mickey Mouse,0.0,2022.0,,23,"Adventure,Animation,Comedy",7.4,170
1260061858.0,Star Wars Biomes,"Fly over the surface of some of the most iconic Star Wars biomes, planets, and moons.",Travel,2021.0,U,18.0,,,movie,Turkey,tt14578676,short,Star Wars Biomes,Star Wars Biomes,0.0,2021.0,,18,"Sci-Fi,Short",6.4,975
1000013698.0,Bullett Raja,"Raja, a victim of a flawed system, turns into a dreaded gangster and wages a war against the police, the government and industrialists.",Action,2013.0,U/A 13+,130.0,,,movie,UK,tt2551378,movie,Bullett Raja,Bullett Raja,0.0,2013.0,,138,"Action,Crime,Drama",4.9,4126
1000164304.0,Rajashilpi,"Shambu is a famous sculptor. After his wife's death, he lives the life of a loner till he meets Durga, and his life takes a turn.",Drama,1992.0,U/A 13+,114.0,,,movie,France,tt0292204,movie,Rajashilpi,Rajashilpi,0.0,1992.0,,113,"Drama,Romance",6.4,163
1260090727.0,Taanakkaran,"Spurred by his dark past, Arivu wants to become a police officer. However, his training instructor Moorthy may become a hurdle and shatter his dreams.",Drama,2022.0,U/A 16+,141.0,,,movie,Italy,tt14986224,movie,Taanakkaran,Taanakkaran,0.0,2022.0,,141,"Drama,Sport",8.1,3384
1260072586.0,MGR Magan,An estranged father and son must join hands to save a medicinal mountain from the claws of a wily businessman because MGR and Ravi are unstoppable together.,Drama,2021.0,U/A 7+,141.0,,,movie,Argentina,tt11569456,movie,MGR Magan,MGR Magan,0.0,2021.0,,150,"Comedy,Drama",3.6,481
